Category,Article,Author,Comment,Processed_Comment
زاوية حادة,من هم أعداء المرأة المغربية؟,يوسف عين الشق,أكثر عداءا للمرأة هم شياطين الإنس، وأن أكثر دعاة تحرير المرأة هم أكثر استغلالا لها ،وهي مستهدفة من طرف الأبالسة لأنها هي دعامة الاسرة والمجتمع وفي إصلاحها إصلاح للمجتمع وفي إفسادها إفساد للمجتمع والأمة .,اكثر عداءا للمراة شياطين الانس ، وان اكثر دعاة تحرير المراة اكثر استغلالا ، وهي مستهدفة طرف الابالسة لانها هي دعامة الاسرة والمجتمع وفي اصلاحها اصلاح للمجتمع وفي افسادها افساد للمجتمع والامة .
زاوية حادة,من هم أعداء المرأة المغربية؟,سعييييييييد,السلام عليكم ورحمه الله أعداء المرأة المغربية هو….الجهل….. والأمية,السلام عليكم ورحمه الله اعداء المراة المغربية … . الجهل … . . والامية
زاوية حادة,من هم أعداء المرأة المغربية؟,هي المرأة الفاشلة,أكبر عدو للمرأة المغربية الأصيلة هي المرأة المغربية الفاشلة في حياتها الزوجية.,اكبر عدو للمراة المغربية الاصيلة هي المراة المغربية الفاشلة حياتها الزوجية .
زاوية حادة,من هم أعداء المرأة المغربية؟,المرابط,اذا كنا فعلا مسلمين فيجب القول أن أعداء المرأة المغربية هم الذين يتاجرون بها ويدفعون بها إلى الهاوية. الإسلام هو الدين القيم الذي أعطى المرأة كامل الحقوق. اما بعض الجمعيات التي (تدافع) عن حقوق المرأة وافتقد إلى كثير من الصواب. اللهم ردنا إلى دينك ردا جميلا.,اذا كنا فعلا مسلمين فيجب القول ان اعداء المراة المغربية الذين يتاجرون ويدفعون الي الهاوية . الاسلام الدين القيم اعطي المراة كامل الحقوق . اما بعض الجمعيات ( تدافع ) حقوق المراة وافتقد الي كثير الصواب . اللهم ردنا الي دينك ردا جميلا .
زاوية حادة,من هم أعداء المرأة المغربية؟,مواطن,اعداء المراءة المغربية هم الذين يريدون اخراج المراءة من انوتتها ومكانتها التي خاصها بها الاءسلام وجعلها سلعة للبيع والشراء,اعداء المراءة المغربية الذين يريدون اخراج المراءة انوتتها ومكانتها خاصها الاءسلام وجعلها سلعة للبيع والشراء
زاوية حادة,من هم أعداء المرأة المغربية؟,القوانين الجائرة,قرأت مؤخرا أنه في كل ثلاثة أيام هناك جريمة ضد المرأة بفرنسا. فما السبب في ذلك هل الإسلام أم قوانينهم الجائرة و المتهورة التي جعلت الرجل يأخذ حقه بيده.,قرات مؤخرا انه ثلاثة ايام جريمة ضد المراة بفرنسا . فما السبب الاسلام ام قوانينهم الجائرة المتهورة جعلت الرجل ياخذ حقه بيده .
زاوية حادة,من هم أعداء المرأة المغربية؟,علي اعتيق الملون بوريش أبيض,ياأستاذ انتهاء زمن العبيد ليس بسبب وخز الضمير أو الأخلاق أو تغير العصر وانما نهاية هذه التجارة والاستعباد جاءت بعد اختفاء وانقراض العرق الأبيض الذي كان يعتبر نفسه سيدا على من لايشبهه وأنه له الحق في تشييءه والمتاجرة به ولاأحد يعلن رسميا نهاية البيض من الأرض .,يااستاذ انتهاء زمن العبيد ليس بسبب وخز الضمير او الاخلاق او تغير العصر وانما نهاية التجارة والاستعباد جاءت بعد اختفاء وانقراض العرق الابيض يعتبر نفسه سيدا لايشبهه وانه الحق تشييءه والمتاجرة ولااحد يعلن رسميا نهاية البيض الارض .
زاوية حادة,من هم أعداء المرأة المغربية؟,بوغراف,سؤال ,سؤال
زاوية حادة,من هم أعداء المرأة المغربية؟,Mohamed,Les vrais ennemis de la femme au maroc se sont eux qui veulent des rapports avec elle hors du mariage ils veulent que la femme soit une marionnette,Les vrais ennemis de la femme au maroc se sont eux qui veulent des rapports avec elle hors du mariage ils veulent que la femme soit une marionnette
زاوية حادة,من هم أعداء المرأة المغربية؟,راي يحترم .,أعداء المرأة المغربية هم بعض الجمعيات الفاسدة تريد ان تفسد كل ما بحولها لترتاح في مجتمع فاسد .,اعداء المراة المغربية بعض الجمعيات الفاسدة تريد ان تفسد بحولها لترتاح مجتمع فاسد .
زاوية حادة,من هم أعداء المرأة المغربية؟,عبداللطيف,لا زال الرجل يعيل المرأة أما عن مداخلها فهي الوحيدة المستفيدة منها لان النفقة ملزومة من الرجل والنص القرآني,زال الرجل يعيل المراة اما مداخلها فهي الوحيدة المستفيدة منها لان النفقة ملزومة الرجل والنص القراني
زاوية حادة,من هم أعداء المرأة المغربية؟,abdou,العدو الوحيد للمرأة المغربية هي المرأة العلمانية التي تطبق أجندات الغرب الملحد مما سيؤدي بالمرأة المغربية إذا إستجابت إلى هذه النداءات الخبيثة بأن تخسر للأسف دنياها وأخرتها. فالحدر الحدر فالأمر جلل.,العدو الوحيد للمراة المغربية هي المراة العلمانية تطبق اجندات الغرب الملحد مما سيؤدي بالمراة المغربية اذا استجابت الي النداءات الخبيثة بان تخسر للاسف دنياها واخرتها . فالحدر الحدر فالامر جلل .
زاوية حادة,من هم أعداء المرأة المغربية؟,محمد,اتقوا الله في نسائكم فخزعبلاتكم افقدتهم هوية المرأة و الأم الصالحة و أصبحن باربي لا يصلحون الا للزينة,اتقوا الله نسائكم فخزعبلاتكم افقدتهم هوية المراة الام الصالحة اصبحن باربي يصلحون الا للزينة
زاوية حادة,من هم أعداء المرأة المغربية؟,casawi,انتم تريدون ان تقسموا المجتمع الى اثنين ,انتم تريدون ان تقسموا المجتمع الي اثنين
زاوية حادة,من هم أعداء المرأة المغربية؟,مواطن أفريقي,أعداء المرأة المغربية هم أعداء الرجل المغربي، المتشبعات والمتشبعون بحليب النفاق الفرنسي من اذيال جمهورية الاستعلاء الاستعمارية الخبيثة ثم تجار الدين الذين من بني جلدتنا، مصلحتنا كمغاربة في ايجاد التوازن بين التيارين ..,اعداء المراة المغربية اعداء الرجل المغربي ، المتشبعات والمتشبعون بحليب النفاق الفرنسي اذيال جمهورية الاستعلاء الاستعمارية الخبيثة ثم تجار الدين الذين بني جلدتنا ، مصلحتنا كمغاربة ايجاد التوازن التيارين . .
زاوية حادة,من هم أعداء المرأة المغربية؟,casawi,بعض الفتاوى التي تم ادراجها لا اجماع عليها حتى بين فقهاء العصور الوسطى بل ان بعضها شاذ اصلا “العين بالعين حرفيا”.,بعض الفتاوي تم ادراجها اجماع عليها حتي فقهاء العصور الوسطي ان بعضها شاذ اصلا “ العين بالعين حرفيا ” .
زاوية حادة,من هم أعداء المرأة المغربية؟,profil,مقال في المستوى نتمنى إخراج مدونة أسرة تحقق المساواة الفعلية و من اراد غير دالك فليدهب الى ايران او باكستان,مقال المستوي نتمني اخراج مدونة اسرة تحقق المساواة الفعلية اراد غير دالك فليدهب الي ايران او باكستان
زاوية حادة,من هم أعداء المرأة المغربية؟,ناصح,إن الدين يدعون النهوض والارتقاء بالمرأة في الحقيقة يريدون إفسادها وتسويقها كسلعة تصر الناضرين أما المرأة في الإسلام كالجوهرة الثمينة أوصى بالمحافظة عليها ودالك بالوقار في بيتها تحت حماية من يعولها ويقوم بها,ان الدين يدعون النهوض والارتقاء بالمراة الحقيقة يريدون افسادها وتسويقها كسلعة تصر الناضرين اما المراة الاسلام كالجوهرة الثمينة اوصي بالمحافظة عليها ودالك بالوقار بيتها تحت حماية يعولها ويقوم
زاوية حادة,من هم أعداء المرأة المغربية؟,مهتم جدا,أعداء المرأة هم الذين يفسحون لها الطريق الى العري والفاحشة ليجدونها وقت قضاء نزواتهم وحاجاتهم البيولوجية ، هؤلاء لا يهمهم في المرأة سوى جسدها ولذلك يسعون الى اخراجها من عزتها وكرامتها وحصنها الحصين الاسرة والزوج والابناء ..,اعداء المراة الذين يفسحون الطريق الي العري والفاحشة ليجدونها وقت قضاء نزواتهم وحاجاتهم البيولوجية ، هؤلاء يهمهم المراة سوي جسدها ولذلك يسعون الي اخراجها عزتها وكرامتها وحصنها الحصين الاسرة والزوج والابناء . .
زاوية حادة,من هم أعداء المرأة المغربية؟,maroc,اقلية علمانية فاسدة تريد تطبيق ما تمليه عليها الأمم المتحدة التي تدعوا إلى نسف الاسرة و الدين وتبديل شرع الله بشراءعهم الفاسدة,اقلية علمانية فاسدة تريد تطبيق تمليه عليها الامم المتحدة تدعوا الي نسف الاسرة الدين وتبديل شرع الله بشراءعهم الفاسدة
زاوية حادة,من هم أعداء المرأة المغربية؟,والله مادوزوها علينا,هذا الكلام المعسول هو أول مابدأ به في أوروبا والأن أنظرو إلى النتيجة في أروبا المرأة أصبحت سلعة فقط يتاجر بيها في كل شيئ بدءا بالدعارة إلى الرقيق الأبيض ثم آخر فضيحة جزيرة القاصرات التي فضحت كبار الشخصيات في أمريكا وأروبا، ثم المثليت والمتحولون والمتحولات حتى أصبحو يشجعون الأطفال على التحول وإذا إحتج الأباء أدخلو السجن، كل هذا بدأ بكلمت معسولة هي الحرية. التقدم. التطور… التكلخ بغيتو دوزوها علينا… النسويات هدوك الزومبيات داوهم شللو ليهم الدماغ برا عند الأعداء وطلقوهم علينا، ردو البال تفتح الباب لزومبي.,الكلام المعسول اول مابدا اوروبا والان انظرو الي النتيجة اروبا المراة اصبحت سلعة فقط يتاجر بيها شيئ بدءا بالدعارة الي الرقيق الابيض ثم اخر فضيحة جزيرة القاصرات فضحت كبار الشخصيات امريكا واروبا ، ثم المثليت والمتحولون والمتحولات حتي اصبحو يشجعون الاطفال التحول واذا احتج الاباء ادخلو السجن ، بدا بكلمت معسولة هي الحرية . التقدم . التطور … التكلخ بغيتو دوزوها علينا … النسويات هدوك الزومبيات داوهم شللو ليهم الدماغ برا عند الاعداء وطلقوهم علينا ، ردو البال تفتح الباب لزومبي .
زاوية حادة,من هم أعداء المرأة المغربية؟,رشيد,نعم يا استاذ، أعداء المرأة هم هؤلاء السكيزوفريون الذين يتدخلون هنا و يقولون ان أعداء المرأة هم من يخرجونها من البيت، في حين لا يتورعون هم أنفسهم من الاستفادة من اجرتها، زوجة كانت أم اختا و حتى أما، تابع، لقد المتهم و عريتهم.,نعم استاذ ، اعداء المراة هؤلاء السكيزوفريون الذين يتدخلون يقولون ان اعداء المراة يخرجونها البيت ، حين يتورعون انفسهم الاستفادة اجرتها ، زوجة كانت ام اختا حتي اما ، تابع ، لقد المتهم عريتهم .
زاوية حادة,من هم أعداء المرأة المغربية؟,عبد الفتاح,أعداء المرأة هم الذين يعملون علي تحرير جسد المرأة من أجل تسهيل الوصول إليه في أي وقت ومن أي شخص هذا هو الهدف الأسمي لدعات التحرر أي تعرية جسد المرأة وتحيد كل ما يمنحها القدرة علي أن تكون ممتنعة عن الرجل الحيوان هذا هو أساس قيام فكر المساوات مع الرجل والتحرير أي تحرير من كل شيء,اعداء المراة الذين يعملون تحرير جسد المراة اجل تسهيل الوصول اليه اي وقت ومن اي شخص الهدف الاسمي لدعات التحرر اي تعرية جسد المراة وتحيد يمنحها القدرة ان ممتنعة الرجل الحيوان اساس قيام فكر المساوات الرجل والتحرير اي تحرير شيء
زاوية حادة,من هم أعداء المرأة المغربية؟,شانة,عدو المراءة الحقيقي هو من يريدها ان تتعرى وان تبدي مفاتنها عدو المراءة هو الذي يريدها امراءة بدون رجل امراءة متزوجة بواحد ويحق لها ان تعرف رجالا كثيرا عدو المراءة هو الذي يخرجها عن دين الاسلام انظروا الان في اروبا وأمريكا نساء تعرفوا على الإسلام فأسلموا اتعرفون لماذا لانه وجدو كرامة المراءة في الاسلام ولانهم قراءو عن الدين الإسلامي ولم يعرفوه بالفطرة هذا هو الفرق,عدو المراءة الحقيقي يريدها ان تتعري وان تبدي مفاتنها عدو المراءة يريدها امراءة بدون رجل امراءة متزوجة بواحد ويحق ان تعرف رجالا كثيرا عدو المراءة يخرجها دين الاسلام انظروا الان اروبا وامريكا نساء تعرفوا الاسلام فاسلموا اتعرفون لماذا لانه وجدو كرامة المراءة الاسلام ولانهم قراءو الدين الاسلامي ولم يعرفوه بالفطرة الفرق
زاوية حادة,من هم أعداء المرأة المغربية؟,ولاد عبد الواحد كلهم واحد,أعداء المرأة في هذا الوطن هم نفسهم أعداء الرجل:من يحتكر المناصب السياسية و الإقتصادية و يورثها لأبنائه و من هم من أقربائه،هي تلك الطبقة التي نهبت خيرات البلاد بدون حسيب و لا رقيب سواء بغطاء القانون أو بدونه،منذ الإستقلال الى يومنا هذا .آخر مؤشر للتنمية البشرية صنف المغرب في المرتبة 120 من بين الأمم و هي نتيجة الإحتكار و الفساد و اللاعدالة اجتماعية يتحمل مسؤوليتها كل من تعاقب على حكم المغرب سواء من الأشخاص أو الأحزاب أو الهيئات محافظون أو علمانيون كلهم سواسية في النهب و السرقة و الفساد.,اعداء المراة الوطن نفسهم اعداء الرجل : يحتكر المناصب السياسية الاقتصادية يورثها لابنائه اقربائه ، هي تلك الطبقة نهبت خيرات البلاد بدون حسيب رقيب سواء بغطاء القانون او بدونه ، الاستقلال الي يومنا . اخر مؤشر للتنمية البشرية صنف المغرب المرتبة 120 الامم هي نتيجة الاحتكار الفساد اللاعدالة اجتماعية يتحمل مسؤوليتها تعاقب حكم المغرب سواء الاشخاص او الاحزاب او الهيئات محافظون او علمانيون كلهم سواسية النهب السرقة الفساد .
زاوية حادة,من هم أعداء المرأة المغربية؟,Amaghrabi,مقال جيد يسوعبه العقلاء ويفهمه من لا يعطل عقله كما يدعو الى ذلك عبدة التراث وأعداء الحداثة التي لا تدعو الى الفساد او الى هدم القيم الانسانية السامية التي تدعو الى السلم والسلام والتحرر من العبودية وبالتالي فهذا المقال موجه خصيصا الى فقهاء التراث الذينهم في نظري يستعملون الطريقة الببغاوية ولا يجتهدون اجتهادا يساير العصر والمنطق والعقل نفسه والدليل أنني سمعت كبار الفقهاء المغاربة وغير المغاربة اجتهادهم مثلا في صلاة التراويح موحدة ما تسمعه من هذا تسمعه من الاخر وبالتالي هذا دليل على انهم متفقون على عدم الاجتهاد لان الاجتهاد يؤدي الى افكار جديدة وحلول جديدة وليست مكررة,مقال جيد يسوعبه العقلاء ويفهمه يعطل عقله يدعو الي عبدة التراث واعداء الحداثة تدعو الي الفساد او الي هدم القيم الانسانية السامية تدعو الي السلم والسلام والتحرر العبودية وبالتالي فهذا المقال موجه خصيصا الي فقهاء التراث الذينهم نظري يستعملون الطريقة الببغاوية ولا يجتهدون اجتهادا يساير العصر والمنطق والعقل نفسه والدليل انني سمعت كبار الفقهاء المغاربة وغير المغاربة اجتهادهم مثلا صلاة التراويح موحدة تسمعه تسمعه الاخر وبالتالي دليل انهم متفقون عدم الاجتهاد لان الاجتهاد يؤدي الي افكار جديدة وحلول جديدة وليست مكررة
زاوية حادة,من هم أعداء المرأة المغربية؟,مغربي,السؤال لماذا ادخال الدين في نقاشات اجتماعية.؟لاسيما في ما يتعلق بالمرأة. لانكم اصلا ليست لديكم افكار لإقناع المجتمع بها سوى الهجوم على الدين. وان الدين هو السبب… راه نساء متسولات ونساء لاحول ولا قوة لهم في حاجة لمن يدافع عنهم. تكلم عنهم يا مغرد النساء. لن تستطيع بل تريدون أكثر من تلك الحالات.,السؤال لماذا ادخال الدين نقاشات اجتماعية . ؟ لاسيما يتعلق بالمراة . لانكم اصلا ليست لديكم افكار لاقناع المجتمع سوي الهجوم الدين . وان الدين السبب … راه نساء متسولات ونساء لاحول ولا قوة لهم حاجة لمن يدافع عنهم . تكلم عنهم مغرد النساء . لن تستطيع تريدون اكثر تلك الحالات .
زاوية حادة,من هم أعداء المرأة المغربية؟,اكاديمية- المانيا,المرأة هي نواة الأسرة والأسرة هي نواة المجتمع,المراة هي نواة الاسرة والاسرة هي نواة المجتمع
زاوية حادة,من هم أعداء المرأة المغربية؟,مغربي,اذا كانوا تجار في الدين كما تقولون . انتم بدوركم تجار في مجال اخر. الحرية والحريات. تجار احترافيين في الهجوم على الدين ومحاربته . فساد المجتمع بمصطلحات غربية. ليست اصلا من أفكاركم. تجريم تجريم….. الإجهاض. العلاقات. الزنا الفاحشة التي تسمونها الرضائية. اكل رمضان. والائحة طويلة. ياتجار العلمانية الحديثة.,اذا كانوا تجار الدين تقولون . انتم بدوركم تجار مجال اخر . الحرية والحريات . تجار احترافيين الهجوم الدين ومحاربته . فساد المجتمع بمصطلحات غربية . ليست اصلا افكاركم . تجريم تجريم … . . الاجهاض . العلاقات . الزنا الفاحشة تسمونها الرضائية . اكل رمضان . والائحة طويلة . ياتجار العلمانية الحديثة .
زاوية حادة,من هم أعداء المرأة المغربية؟,محمد بن عبدالسلام,جل الفقهاء او من يشبهم ينطبق عليهم القول ,جل الفقهاء او يشبهم ينطبق عليهم القول
زاوية حادة,من هم أعداء المرأة المغربية؟,يا ودي فكروا شوي,الكل يتكلم عن إيران و أفغانستان و يستخدم هاتين الكلمتين بسرعة في أي موضوع. لكن لا أحد يعلم حقيقة هاذان البلدان.لقد تم غسل أدمغتم جيدا…,الكل يتكلم ايران افغانستان يستخدم هاتين الكلمتين بسرعة اي موضوع . لكن احد يعلم حقيقة هاذان البلدان . لقد تم غسل ادمغتم جيدا …
زاوية حادة,من هم أعداء المرأة المغربية؟,الطائر الحر,أعداء المرأة هم قلة مأجورة من الغرب المنافق والمخادع الذي ينبجج بحقوق وهمية زائفة لماذا لا تنتفض هذه الجمعيات و تدافع عن المرأة الفلسطينية التي يستباح دمها كل ساعة و دقيقة.,اعداء المراة قلة ماجورة الغرب المنافق والمخادع ينبجج بحقوق وهمية زائفة لماذا تنتفض الجمعيات تدافع المراة الفلسطينية يستباح دمها ساعة دقيقة .
زاوية حادة,من هم أعداء المرأة المغربية؟,صارة,سبحان الله ، أغلب المعلقين يعتبرون المرأة مفعولا بها، مسلوبة الإرادة، تتقاذفها التيارات، و تدخلها في هاته العقيدة وتخرجها من تلك. وهذا موطن الداء. أنت عزيزي المعلق، لا تحترم المرأة. لا تكفي هاته السطور لإحتواء الموضوع، ولكن أجب نفسك بصدق,سبحان الله ، اغلب المعلقين يعتبرون المراة مفعولا ، مسلوبة الارادة ، تتقاذفها التيارات ، تدخلها هاته العقيدة وتخرجها تلك . وهذا موطن الداء . انت عزيزي المعلق ، تحترم المراة . تكفي هاته السطور لاحتواء الموضوع ، ولكن اجب نفسك بصدق
زاوية حادة,من هم أعداء المرأة المغربية؟,زاكورة,اعتقد ان عدو المرأة، كل يصور لها ان الرجل عدو، يجب التعمل بكل حدر، لأنه غدار، و لانه ،. و لانه و بمجرد سوء فهم بسيط عادي، تكون المرأة قد تحققت انه يريد أن يضغط او او او ، و هناك من بني جلدتهن حققت طموحا ماديا، لكن فاشلة اجتماعيا لا زواج،. لا اولاد و لا :الرجل ليس فقط المؤونة، و لكن لباس يقي كل واحد منا متطلبات انسانية ,اعتقد ان عدو المراة ، يصور ان الرجل عدو ، يجب التعمل بكل حدر ، لانه غدار ، لانه ، . لانه بمجرد سوء فهم بسيط عادي ، المراة قد تحققت انه يريد ان يضغط او او او ، بني جلدتهن حققت طموحا ماديا ، لكن فاشلة اجتماعيا زواج ، . اولاد : الرجل ليس فقط المؤونة ، لكن لباس يقي واحد منا متطلبات انسانية
زاوية حادة,من هم أعداء المرأة المغربية؟,عبدالله ايت علي,لا زال الدين يتحكم في عقول المغاربة ، والدولة تقيس في كل فرصة نبض الشارع فتجده ما زال يحكم من اهل الدين ، والطامة الكبرى انك عندما تناقش شخصا عن امر من امور الساعة لا يجتهد ويجيبك من اجتهاد وبنات افكاره بل يقول لك قال الشيخ فلان او يقول الشيخ فلان ، ثم ينصرف فيسب كل المفكرين الذين يجتهدون وينعتهم بالزنادقة او يقول ان الشياطين هي التي تحركهم او ان الماسونية هي التي تصرف عليهم ، ولو ان شيخا قام بمراجعة افكاره وخرج لهم يدعوهم الى ان بحكموا العقل والحكمة لنعتوه بالمرتد الزنديق ، فلا طائل من كل هذا ، واليوم يؤخذ من حق المراة نصف تركتها لحساب اخيها لا لسبب سوى ان رجال الدين تشبتوا بذلك النص ، ولا زالت المراة تاخذ المهر واموال المتعة وكانها غانية ، فاي متعة تدفع للمراة مادام الزواج بينكم نتيجة حب ورغبة من الطرفين ، اما التبني فلا زال ممنوعا ومحرما رغم انه يقدم حلا جذريا للاطفال المتخلى عنهم ولمن لا قدرة لهم على الانجاب ، فلما كل هذا ، كل هذا بسبب تدخل النصوص التي جاءت من قريش في حياة المغاربة,زال الدين يتحكم عقول المغاربة ، والدولة تقيس فرصة نبض الشارع فتجده زال يحكم اهل الدين ، والطامة الكبري انك عندما تناقش شخصا امر امور الساعة يجتهد ويجيبك اجتهاد وبنات افكاره يقول لك قال الشيخ فلان او يقول الشيخ فلان ، ثم ينصرف فيسب المفكرين الذين يجتهدون وينعتهم بالزنادقة او يقول ان الشياطين هي تحركهم او ان الماسونية هي تصرف عليهم ، ولو ان شيخا قام بمراجعة افكاره وخرج لهم يدعوهم الي ان بحكموا العقل والحكمة لنعتوه بالمرتد الزنديق ، فلا طائل ، واليوم يؤخذ حق المراة نصف تركتها لحساب اخيها لسبب سوي ان رجال الدين تشبتوا بذلك النص ، ولا زالت المراة تاخذ المهر واموال المتعة وكانها غانية ، فاي متعة تدفع للمراة مادام الزواج بينكم نتيجة حب ورغبة الطرفين ، اما التبني فلا زال ممنوعا ومحرما رغم انه يقدم حلا جذريا للاطفال المتخلي عنهم ولمن قدرة لهم الانجاب ، فلما ، بسبب تدخل النصوص جاءت قريش حياة المغاربة
زاوية حادة,من هم أعداء المرأة المغربية؟,يوسف,الدين ابن ابن بيئته ، زمانا ومكانا ، واهم من يظن أن تعاليم الدين صالحةلكل زمان ومكان ، البقاء للاصلح كما تقول نظرية التطور.,الدين ابن ابن بيئته ، زمانا ومكانا ، واهم يظن ان تعاليم الدين صالحةلكل زمان ومكان ، البقاء للاصلح تقول نظرية التطور .
زاوية حادة,من هم أعداء المرأة المغربية؟,م.س.,نقطة ضعف أعداء الاسلام أنهم يجهلون عن الله الكثير من قدرته المطلقة في كل شيء وعلمه الفائق والمحيط بكل شئ إنه يخبرنا بالحوار الذي سوف يدور بين أهل النار وخزنتها قبل وقوع ذلك بألوف السنين!!,نقطة ضعف اعداء الاسلام انهم يجهلون الله الكثير قدرته المطلقة شيء وعلمه الفائق والمحيط بكل شئ انه يخبرنا بالحوار سوف يدور اهل النار وخزنتها قبل وقوع بالوف السنين ! !
زاوية حادة,من هم أعداء المرأة المغربية؟,محمد الأغظف الزيعر,المرأة عدوة نفسها لا أقل ولا أكثر والتوجه نحو العلمانية التي تقودها النسوية العالمية أثبتت فشلها ولكم في الدول الغربية التي تتبجحون بها أكبر دليل على ذلك وخروج المرأة إلى الشغل لإعالة أسرتها يخدم الرأسمالية المتوحشة التي لن تتهاون في مص دماء المرأة والرجل كما أن حصر الرأي الديني في الزاوية لجعله دائما في حالة دفاع عن النفس خطة فاشلة فالمجتمعات التي كرمت المرأة في بيتها هي الأكثر صلابة وأخلاقية وهي بالتأكيد الإسلامية والإسلامية فقط,المراة عدوة نفسها اقل ولا اكثر والتوجه نحو العلمانية تقودها النسوية العالمية اثبتت فشلها ولكم الدول الغربية تتبجحون اكبر دليل وخروج المراة الي الشغل لاعالة اسرتها يخدم الراسمالية المتوحشة لن تتهاون مص دماء المراة والرجل ان حصر الراي الديني الزاوية لجعله دائما حالة دفاع النفس خطة فاشلة فالمجتمعات كرمت المراة بيتها هي الاكثر صلابة واخلاقية وهي بالتاكيد الاسلامية والاسلامية فقط
زاوية حادة,من هم أعداء المرأة المغربية؟,hakim,العبودية ثقافة كذلك وهذه الثقافة مازالت موجودة في المغرب في جميع المجالات ومتوارثة. لا نفرق بين طقوس الإحترام والعزة اللازمة,العبودية ثقافة كذلك وهذه الثقافة مازالت موجودة المغرب جميع المجالات ومتوارثة . نفرق طقوس الاحترام والعزة اللازمة
زاوية حادة,من هم أعداء المرأة المغربية؟,زهير محمد,أعداء المرأة بصفة عامة هم الذين باعوا لها الاوهام وكسروا جدار الاحترام والتقدير بعد ماكانت في بيت مكرمة أصبحت في كل مكان صورها معلقة في الشوارع والمجلات زيادة على ذلك الرجل الذي كان يحميها من قبل اصبح يطمع فيها ليل نهار ثالثا وأخيرا تمردها على شرع الله فئ اللباس وفي كل شىء,اعداء المراة بصفة عامة الذين باعوا الاوهام وكسروا جدار الاحترام والتقدير بعد ماكانت بيت مكرمة اصبحت مكان صورها معلقة الشوارع والمجلات زيادة الرجل يحميها قبل اصبح يطمع فيها ليل نهار ثالثا واخيرا تمردها شرع الله فئ اللباس وفي شيء
زاوية حادة,أضحوكة جزائرية,kharbachkharbach,الجزائر اصبحت تصطاد في الماء العكر وكبراناتها اصبحوا أضحوكة العالم فلاداعي لرد عليها فهي تعيش مرض نفسي وعقدة في حلقها هو المغرب والمغرب في طريق الاستثمارات والجزائر بالشعارات.,الجزائر اصبحت تصطاد الماء العكر وكبراناتها اصبحوا اضحوكة العالم فلاداعي لرد عليها فهي تعيش مرض نفسي وعقدة حلقها المغرب والمغرب طريق الاستثمارات والجزائر بالشعارات .
زاوية حادة,أضحوكة جزائرية,الحقيقة,الغباء والحمق الجزاءري ليس جديد ا وليس وليد اليوم وانما هو متاصل منذ الاستقلال في الستينات ولكن الذي عرى وفضح غباءهم هي العولمة ومواقع التواصل الاجتماعي.اذا اردت ان تبحت عن من صنع هذا المنتوج الغريب فهي فرنسا التي كرست جهلهم طيلة مدة الاستعمار اما النخبة المثقفة المفرنسة فقد هربت مع الاستقلال الى فرنسا وتركت السلطة للعسكر الذي نزل من الجبال الى المدن فاستولى على الثروات والخيرات وانتج شعبا مريضا بالثورة وببدعة المليون شهيد وشعار وان تو تري فيفا لالجيري,الغباء والحمق الجزاءري ليس جديد ا وليس وليد اليوم وانما متاصل الاستقلال الستينات ولكن عري وفضح غباءهم هي العولمة ومواقع التواصل الاجتماعي . اذا اردت ان تبحت صنع المنتوج الغريب فهي فرنسا كرست جهلهم طيلة مدة الاستعمار اما النخبة المثقفة المفرنسة فقد هربت الاستقلال الي فرنسا وتركت السلطة للعسكر نزل الجبال الي المدن فاستولي الثروات والخيرات وانتج شعبا مريضا بالثورة وببدعة المليون شهيد وشعار وان تو تري فيفا لالجيري
زاوية حادة,أضحوكة جزائرية,مجيد,هل يعلم سكان دولة الكابرانات معنى كلمة البلادة ؟ فالبلادة هي القيام بفعل مرتين بنفس الطريقة و نفس الأسلوب مع أنتظار نتائج مختلفة . الله يشافيهم من هاد الداء,يعلم سكان دولة الكابرانات معني كلمة البلادة ؟ فالبلادة هي القيام بفعل مرتين بنفس الطريقة نفس الاسلوب انتظار نتائج مختلفة . الله يشافيهم هاد الداء
زاوية حادة,أضحوكة جزائرية,بوعزة,وإن تصبروا وتتقوا لا يضركم كيدهم شيئًا”,وان تصبروا وتتقوا يضركم كيدهم شيئا ”
زاوية حادة,أضحوكة جزائرية,الزهوانية,لقد قالوها زمان عندهم عشرة حمقى في عقل واحد فكيف يستقيم السلوك,لقد قالوها زمان عندهم عشرة حمقي عقل واحد فكيف يستقيم السلوك
زاوية حادة,أضحوكة جزائرية,ملاح لا أكثر,الشهداء من أجل الجزاءر اليوم يتقلبون في قبورهم لأنهم خاب ضنهم بسبب النوعية البنادمية التي أصبحت اليوم تمثل الجزاءر ولو رجع الزمن الى الوراء لكانوا في صف شارلي دوغول وفرنسا عوض المقاومة والتضحية بالنفس من أجل أن ينتهي كل شيء في نهاية المطاف لأشخاص لاشغل لهم سوى الخدش في الماء العكر والخواض .,الشهداء اجل الجزاءر اليوم يتقلبون قبورهم لانهم خاب ضنهم بسبب النوعية البنادمية اصبحت اليوم تمثل الجزاءر ولو رجع الزمن الي الوراء لكانوا صف شارلي دوغول وفرنسا عوض المقاومة والتضحية بالنفس اجل ان ينتهي شيء نهاية المطاف لاشخاص لاشغل لهم سوي الخدش الماء العكر والخواض .
