Category,Article,Author,Comment,Processed_Comment,Sentiment
زاوية حادة,حرب رمضان,الطائر الحر,حبذا لو نستحضر 6 من أكتوبر 1967 حرب رمضان ضد الكيان الصهيوني و نقف مع إخواننا في فلسطين المحتلة. اللهم أنصر إخواننا في غزة اللهم سدد رميتهم اللهم كن لهم وليا و نصيرا.,حبذا لو نستحضر اكتوبر حرب رمضان ضد الكيان الصهيوني نقف اخواننا فلسطين المحتله اللهم انصر اخواننا غزه اللهم سدد رميتهم اللهم كن لهم وليا نصيرا,neutral
زاوية حادة,حرب رمضان,احمد,مقال صريح يصف واقعنا في رمضان للاسف الشديد . اسال الله العضيم ان ينبهنا لعيوبنا,مقال صريح يصف واقعنا رمضان للاسف الشديد اسال الله العضيم ان ينبهنا لعيوبنا,negatif
زاوية حادة,حرب رمضان,Hamid,الأحمق والمفلس هو من يستعد لرمضان ببطنه وليس بقلبه وروحه رمضان شهر السكينة والطمأنينة والاقتصاد في الأكل والشرب وفي مل شيء. فكيف أن نعتبر قدوم وإعلان الحرب في شهر رمضان؟؟؟,الاحمق والمفلس يستعد لرمضان ببطنه وليس بقلبه وروحه رمضان شهر السكينه والطمانينه والاقتصاد الاكل والشرب وفي مل شيء فكيف ان نعتبر قدوم واعلان الحرب شهر رمضان,neutral
زاوية حادة,كرونولوجيا السنوات العجاف,ورادي عابد,بدات سنوات العجاف منذ مهزلة ستنبر 2021 ومن وقتها يعيش المواطن الهم والغم محاصر بالغلاء وبانهيار التعليم والصحة وتفشي البطالة والفقر والهشاشة سنوات عجاف بالنسبة لحكومة لم يعرف معها الشعب سوى الكوارث والفشل والجفاف والتمييع والتفاهة والشفوي والوعود الوهمية,بدات سنوات العجاف منذ مهزله ستنبر ومن وقتها يعيش المواطن الهم والغم محاصر بالغلاء وبانهيار التعليم والصحه وتفشي البطاله والفقر والهشاشه سنوات عجاف بالنسبه لحكومه يعرف معها الشعب سوي الكوارث والفشل والجفاف والتمييع والتفاهه والشفوي والوعود الوهميه,negatif
زاوية حادة,كرونولوجيا السنوات العجاف,احمد,قصة جميلة و رائعة تصلح لسيناريو فلم يحكي الواقع المر الذي يعيشه الفلاح المغلوب على امره و ليس بيده حيلة. بدل انتاج افلام مائعة لا تصلح للمشاهدة برفقة العائلة و لا تحترم الذوق المغربي و لكن مع ممثلين جيدين اصولهم من القرية و عاشوا هذا الواقع المر بذل ممثلين كيلي ميني…….,قصه جميله رايعه تصلح لسيناريو فلم يحكي الواقع المر يعيشه الفلاح المغلوب امره ليس بيده حيله بدل انتاج افلام مايعه تصلح للمشاهده برفقه العايله تحترم الذوق المغربي ممثلين جيدين اصولهم القريه عاشوا الواقع المر بذل ممثلين كيلي ميني,positif
زاوية حادة,كرونولوجيا السنوات العجاف,فلاح سابق,أحسنت ايها الكاتب،ولخصت قصة الفلاح مع المطر في سطور،بالفعل كل ماذكرت صحيحا،ويجسد حال الناس القرويين بصفة عامة،هؤولاء الفلاحين تحلو لهم البادية لما يكون الموسم الفلاحي جيدا،فتكثر الخيرات بفضل الله.ويكون الجميع بخير،اما بتوالي سنوات الجفاف،فتجد الوجوه عابسة،والماشية هزيلة،والاعلاف غالية،وثمن المواشي دون الصفر.وتجد الجميع يفكر في الهجرة الى المدن.لاحيلة مع الله سبحانه.كل شيء بيده.نتمنى منه سبحانه الرأفة والرحمة بخلقه.آمين.,احسنت ايها الكاتبولخصت قصه الفلاح المطر سطوربالفعل ماذكرت صحيحاويجسد حال الناس القرويين بصفه عامههوولاء الفلاحين تحلو لهم الباديه لما يكون الموسم الفلاحي جيدافتكثر الخيرات بفضل اللهويكون الجميع بخيراما بتوالي سنوات الجفاففتجد الوجوه عابسهوالماشيه هزيلهوالاعلاف غاليهوثمن المواشي دون الصفروتجد الجميع يفكر الهجره الي المدنلاحيله الله سبحانهكل شيء بيدهنتمني منه سبحانه الرافه والرحمه بخلقهامين,positif
زاوية حادة,كرونولوجيا السنوات العجاف,متابع,اللّهم اسق عبادك وبهيمتك وانشر رحمتك وأحيي بلدك الميت، نستغفرك يارب إنك كنت بنا غفارا فأرسل السماء علينا مدرارا,اللهم اسق عبادك وبهيمتك وانشر رحمتك واحيي بلدك الميت نستغفرك يارب انك كنت بنا غفارا فارسل السماء علينا مدرارا,negatif
زاوية حادة,كرونولوجيا السنوات العجاف,أبو يعزى,مقالة رائعة عن الجفاف في البادية المنسية تصف حياة الفلاح التقليدي وصفا دقيقا وبأسلوب أدبي رائع وساخر ،ومابقي عالقا بذهني هي عبارة الفلاح الساخر من زوجته :البقرات كلها هزلت وبقيت أنت.!,مقاله رايعه الجفاف الباديه المنسيه تصف حياه الفلاح التقليدي وصفا دقيقا وباسلوب ادبي رايع وساخر ومابقي عالقا بذهني هي عباره الفلاح الساخر زوجته البقرات كلها هزلت وبقيت انت,positif
زاوية حادة,كرونولوجيا السنوات العجاف,مقالة جميلة,رائع جدا، أجدت و أتقنت الوصف ، معاناة حقيقية للفلاح الصغير، أما كبار الفلاحين فلا خوف عليهم، أمطرت أم لم تمطر ، المخطط الأخضر على مقاسهم.,رايع جدا اجدت اتقنت الوصف معاناه حقيقيه للفلاح الصغير اما كبار الفلاحين فلا خوف عليهم امطرت ام تمطر المخطط الاخضر مقاسهم,positif
زاوية حادة,كرونولوجيا السنوات العجاف,حميد,حكومة الفساد والجفاف الله يحفظ، هلك الحرث والنسل، الله يعطينا شي تعديل راهم طغاو سيدي الملك …,حكومه الفساد والجفاف الله يحفظ هلك الحرث والنسل الله يعطينا شي تعديل راهم طغاو سيدي الملك,neutral
زاوية حادة,كرونولوجيا السنوات العجاف,سعيد علوي المدغري,سرد جد رائع هنيئا لك صديقي بهذه الملكة المتميزة ومزيدل من العطاء,سرد جد رايع هنييا لك صديقي بهذه الملكه المتميزه ومزيدل العطاء,positif
برامج هسبريس,ملعب هسبريس | الدكيك,fariss,المدرب المميز هشام الدكيك ترفع له القبعة ونحن فخورين به وبما قدم لنا من خلال فريق مبدع الى ابعد الحدود كنا نتفرج ونحن مرتاحين وراضين كيف ماكانت النتيجة لان الفريق كان يلعب باحترافية عالية,المدرب المميز هشام الدكيك ترفع له القبعه ونحن فخورين وبما قدم لنا خلال فريق مبدع الي ابعد الحدود كنا نتفرج ونحن مرتاحين وراضين ماكانت النتيجه لان الفريق يلعب باحترافيه عاليه,positif
برامج هسبريس,ملعب هسبريس | الدكيك,معتز,ما اجمل ان سمية الملعب بإسمه ليعترف الجميع بمهاراته,اجمل ان سميه الملعب باسمه ليعترف الجميع بمهاراته,positif
برامج هسبريس,ملعب هسبريس | الدكيك,LE MAROC,Bravo vous êtes nôtres fiertés et félicitation bonne continuation pour une coupe du monde historique merci vous avez bien honoré le maroc,Bravo vous êtes nôtres fiertés et félicitation bonne continuation pour une coupe du monde historique merci vous avez bien honoré le maroc,positif
برامج هسبريس,ملعب هسبريس | الدكيك,Yacine RT,كل الدعم والتقدير وكل الإحترام والشكر للسيد المحترم المتواضع السي هشام الدكيك الذي شرف البلاد في كل أرجاء المعمورة . الله يسر ليه و الله يسهل عليه في قادم الأيام .,الدعم والتقدير وكل الاحترام والشكر للسيد المحترم المتواضع السي هشام الدكيك شرف البلاد ارجاء المعموره الله يسر ليه الله يسهل عليه قادم الايام,positif
برامج هسبريس,قصة | صابرين مزيكير,طارق بن رحال,بالتوفيق لك و نتمنى النجاح لهذه الرياضة الجديدة على المغاربة,بالتوفيق لك نتمني النجاح لهذه الرياضه الجديده المغاربه,positif
برامج هسبريس,قصة | صابرين مزيكير,I don't understand,I don’t understand what she says. من فضلكم حاولو تتجاوزو هاد اللغة الفرنسية لي مكتسوى حتى بصلة و مكتجيبش الربح,I dont understand what she says فضلكم حاولو تتجاوزو اللغه الفرنسيه مكتسوي حتي بصله مكتجيبش الربح,positif
برامج هسبريس,مع الصديق معنينو | تحرير طنجة,بلي محمد من البيضاء المملكة المغربية,كلمات ادا سمحتم لنا شكرا و ا نتمنى ألا تجرنا بعيد ا عن التاريخ المغربي القديم المدهش المحير كدالك أقول تحت ظل هد ا الدرس التاريخي الذي يقدمه كالعادة الباحث المحترم محمد الصديق معنينو خيل لي ونحن نستمع لهد ا التحليل التاريخي بأن كل مدن المملكة كانت تتألم محن متنوعة ومختلفة جد ا وبفضل الله وحده أصبحت حرة تفتخر بحريتها بعد المعاناة,كلمات ادا سمحتم لنا شكرا ا نتمني الا تجرنا بعيد ا التاريخ المغربي القديم المدهش المحير كدالك اقول تحت ظل هد ا الدرس التاريخي يقدمه كالعاده الباحث المحترم محمد الصديق معنينو خيل ونحن نستمع لهد ا التحليل التاريخي بان مدن المملكه كانت تتالم محن متنوعه ومختلفه جد ا وبفضل الله وحده اصبحت حره تفتخر بحريتها بعد المعاناه,positif
برامج هسبريس,مع الصديق معنينو | نوايا سيئة,خليل,معنينو رجل مثقف .ولكن لماذا لا يعطي حلولا لمشاكل الشباب اليوم وربطها بتاريخ المغرب .,معنينو رجل مثقف ولكن لماذا يعطي حلولا لمشاكل الشباب اليوم وربطها بتاريخ المغرب,neutral
برامج هسبريس,مع الصديق معنينو | نوايا سيئة,مغربي,الله يحفظك يا استاذ معنينو نرجو منكم ان تزيدون من هذا طول العام حتى نعلم تاريخنا لابناءنا,الله يحفظك استاذ معنينو نرجو منكم ان تزيدون طول العام حتي نعلم تاريخنا لابناءنا,neutral
برامج هسبريس,قصة | المفضل التطواني,sousou,سلام عليكم,سلام عليكم,neutral
برامج هسبريس,قصة | المفضل التطواني,بنعباس,يشهد الواقع غياب نظرة شمولية للمحافظة على التراث المغربي بكل اصنافه ,يشهد الواقع غياب نظره شموليه للمحافظه التراث المغربي بكل اصنافه,neutral
صوت وصورة,ريمونتادا | بديع أووك,رياضي,كان لاعب نجم و يلعب مقابلة كاملة عندما كةن مع الحسنية، بعدها مع الوداد أصبح في الإحتياط,لاعب نجم يلعب مقابله كامله عندما كهن الحسنيه بعدها الوداد اصبح الاحتياط,positif
صوت وصورة,وزير الصحة,نعيم علي,هذا الشخص جاء بمهمة هي دق آخر مسمار في نعش الصحة العمومية كما يفعل مسؤول التعليم الأخر وجميع المؤشرات على ارض الواقع تدل على ذلك !!,الشخص جاء بمهمه هي دق اخر مسمار نعش الصحه العموميه يفعل مسوول التعليم الاخر وجميع الموشرات ارض الواقع تدل ذلك,neutral
صوت وصورة,وزير الصحة,عبدالله,حتى الإنسان ذوي الاحتياجات الخاصه حرمتهم من التغطية الصحية رغم أنهم كانو يستفيدون من الرميد ؟؟,حتي الانسان ذوي الاحتياجات الخاصه حرمتهم التغطيه الصحيه رغم انهم كانو يستفيدون الرميد,positif
صوت وصورة,وزير الصحة,متتبع,الراميد أحسن بكثير من أمو ، إجراءاتها مبسطة و سهلة لا تحتاج للتعقيدات على أرض الواقع، فقط كان يلزمهم زيادة الاستشفاء بالمصحات الخاصة,الراميد احسن بكثير امو اجراءاتها مبسطه سهله تحتاج للتعقيدات ارض الواقع فقط يلزمهم زياده الاستشفاء بالمصحات الخاصه,positif
صوت وصورة,أجمل حمار في زرهون,فتي,هههه ولله إلى زوينة هذي دابا لحمير حشكم في سوق رهم غير بلاش,هههه ولله الي زوينه هذي دابا لحمير حشكم سوق رهم غير بلاش,positif
صوت وصورة,أجمل حمار في زرهون,anouar,يقول غاندي إدا أردت أن تقيس أخلاق الشعوب أنضر إلا طريقة معاملتهم للحيوانات . و يقول الفقهاء من نزل على دابته في عقبة كما أعتق رقبة . أتمنى أن نكتر من هده التضاهرات حتى تشمل باقي الحيونات التي تعيش في خدمة الإنسان و من الواجب أن نعترف لها بالجميل,يقول غاندي ادا اردت ان تقيس اخلاق الشعوب انضر الا طريقه معاملتهم للحيوانات يقول الفقهاء نزل دابته عقبه اعتق رقبه اتمني ان نكتر هده التضاهرات حتي تشمل باقي الحيونات تعيش خدمه الانسان الواجب ان نعترف لها بالجميل,neutral
صوت وصورة,أجمل حمار في زرهون,أجملهم في البرلمان,أجملهم في البرلمان رواتبهم دسمة و نومهم نوم أهل الكهف,اجملهم البرلمان رواتبهم دسمه نومهم نوم اهل الكهف,positif
صوت وصورة,أجمل حمار في زرهون,مصطفى,رسالتي للأخ فتي صاحب التعليق الاول قال الله تعالى ارحمو من في الأرض يرحمكم من في السماء هده مبادرات جميلة من اجل الرفق بالحيوانات والحمار خلقه الله هو كدلك ولا تنسى أن أسر بل قرى باسرها يعيشون من خدمات الدواب فلا تستهزئ بمخلوقات الله شكرا,رسالتي للاخ فتي صاحب التعليق الاول قال الله تعالي ارحمو الارض يرحمكم السماء هده مبادرات جميله اجل الرفق بالحيوانات والحمار خلقه الله كدلك ولا تنسي ان اسر بل قري باسرها يعيشون خدمات الدواب فلا تستهزي بمخلوقات الله شكرا,positif
صوت وصورة,أجمل حمار في زرهون,mowatena,الحمار من بين اجمل واخلص الحياوانات والانسان منذ القدم وحاجته الى الحمار الظريف لا محيد عنها ..اشكر كل الفاعلين في هذه المسابقة وتحية لناس مولاي ادريس زرهون بهذا الكائن الذي لا يزال له دور مهم داخل مدينتهم وخارها,الحمار اجمل واخلص الحياوانات والانسان منذ القدم وحاجته الي الحمار الظريف محيد عنها اشكر الفاعلين المسابقه وتحيه لناس مولاي ادريس زرهون بهذا الكاين يزال له دور مهم داخل مدينتهم وخارها,positif
صوت وصورة,أجمل حمار في زرهون,محند,بعض الإخوة يستهجنون من المقال و من الحمار ربما لا يعلمون أن رمز الحزب الديموقراطي الأمريكي هو الحمار .,بعض الاخوه يستهجنون المقال الحمار ربما يعلمون ان رمز الحزب الديموقراطي الامريكي الحمار,neutral
صوت وصورة,أجمل حمار في زرهون,ثقافة,الحمار حيوان كمثل كل الحيوانات، بل و يبقى أكثرهم وفاء و خدمة لبني البشر. و أما السخرية من الحمار و اعتباره مثلا للغباء فهذا من ثقافة العرب و حدهم، أما الأعراق الأخرى فيحظى الحمار بالرعاية الملائمة لما يقدمه من خدمات. و الأغرب أن كثيرا من عريبان هم أقل ذكاء و أقل منفعة للبشر و الحرث و النسل من هذا الحيوان الظريف. هذا جوابي للتعليق الأول و كل من شابهه.,الحمار حيوان كمثل الحيوانات بل يبقي اكثرهم وفاء خدمه لبني البشر اما السخريه الحمار اعتباره مثلا للغباء فهذا ثقافه العرب حدهم اما الاعراق الاخري فيحظي الحمار بالرعايه الملايمه لما يقدمه خدمات الاغرب ان كثيرا عريبان اقل ذكاء اقل منفعه للبشر الحرث النسل الحيوان الظريف جوابي للتعليق الاول شابهه,positif
صوت وصورة,أجمل حمار في زرهون,simo,إلى التعليق الأول، هل تعرف مكانة الحمار في العديد من الأوساط وما يقدمه من خدمة وذكر في القرآن بدون إقران إسمه بحاشاكوم؟ فكم من عائلة تقتات على خدماته، وساهم في نقل الجرحى في غزة..,الي التعليق الاول تعرف مكانه الحمار العديد الاوساط وما يقدمه خدمه وذكر القران بدون اقران اسمه بحاشاكوم فكم عايله تقتات خدماته وساهم نقل الجرحي غزه,positif
صوت وصورة,أجمل حمار في زرهون,ALI NAIT OMAR,هل تعلم أن الحمير هم من أحسن التقنيين و المهندسين لترسيم الطرق في المناطق الوعرة و خاصة الجبال…..,تعلم ان الحمير احسن التقنيين المهندسين لترسيم الطرق المناطق الوعره خاصه الجبال,positif
صوت وصورة,أجمل حمار في زرهون,hayat,أرى أن كل الحمير جميلة..الحمار حيوان مسالم ومطيع وخدوم….يجب الاهتمام به والرفق به …يحز في نفسي عندما أرى العصا تنزل على جسده لكي يسرع في المشي وغالبا ما تدمي العصا جسده….اقترح ان نخصص يوما سنويا للحمار بهدف التحسيس والتوعية وتحسين التعامل معه…,اري ان الحمير جميلهالحمار حيوان مسالم ومطيع وخدوميجب الاهتمام والرفق يحز نفسي عندما اري العصا تنزل جسده لكي يسرع المشي وغالبا تدمي العصا جسدهاقترح ان نخصص يوما سنويا للحمار بهدف التحسيس والتوعيه وتحسين التعامل معه,positif
صوت وصورة,أجمل حمار في زرهون,عبدالله انور,بدون استهزاء او تهكم، مبادرة تستحق الاهتمام والاستمرار، وتخصيص جوائز مهمة لهؤلاء المربين ودعم لازم لتشجيعهم على مواصلة العناية بهذا الحيوان الاليف لما يقدمه من خدمات يومية للإنسان، كما له دور مهم في تشجيع السياحة الجبلية، وحتى لا ينقص عدده او ينقرض هذا الحيوان في مناطقنا ، شكرا للجميع على الدعم والاهتمام ،,بدون استهزاء او تهكم مبادره تستحق الاهتمام والاستمرار وتخصيص جوايز مهمه لهولاء المربين ودعم لازم لتشجيعهم مواصله العنايه بهذا الحيوان الاليف لما يقدمه خدمات يوميه للانسان له دور مهم تشجيع السياحه الجبليه وحتي ينقص عدده او ينقرض الحيوان مناطقنا شكرا للجميع الدعم والاهتمام,neutral
صوت وصورة,أجمل حمار في زرهون,مواطن,إلى مول التعليق الثاني كلامك صح يا أخي لكن قلته بالعكس يقول الحمار في العقبة واخا تركب عليا غير مهل عليا يعني يمشي بشوية عليه وفي الهبطة انزل عليا وفي الوطية إذا ما مشيت بالتربية إكون العيب فيا لأن في الهبطة والحدورة وانت راكب ككيان معدب وفي العقبة غير خليه يتمشى براحتو يعزك ويطلعاك واخاف تكون راكب عليه وفي الوطية كيقول واخا تزرب عليا إذا ما تمشين بالزربة كيكون العيب فيه,الي مول التعليق الثاني كلامك صح اخي قلته بالعكس يقول الحمار العقبه واخا تركب عليا غير مهل عليا يعني يمشي بشويه عليه وفي الهبطه انزل عليا وفي الوطيه اذا مشيت بالتربيه اكون العيب فيا لان الهبطه والحدوره وانت راكب ككيان معدب وفي العقبه غير خليه يتمشي براحتو يعزك ويطلعاك واخاف تكون راكب عليه وفي الوطيه كيقول واخا تزرب عليا اذا تمشين بالزربه كيكون العيب فيه,negatif
صوت وصورة,أجمل حمار في زرهون,mda,هل يشارك منظمو المسابقة بأنفسهم في هذه التظاهرات ؟,يشارك منظمو المسابقه بانفسهم التظاهرات,neutral
صوت وصورة,أجمل حمار في زرهون,سعدون المغربي,لحسن الحظ هذا الحمير موجودة في المغرب,لحسن الحظ الحمير موجوده المغرب,positif
صوت وصورة,أجمل حمار في زرهون,الأخوة الصادقة,الشكر و التحية لناس زرهون و لمسؤولي هذه المسابقة حقيقة قدمتم صورة جميلة و متحضرة عنكم عكس ما وقع في بعض جهات المغرب من تعذيب و تعدي على بعض الحيوانات .مرة أخرى شكرا لكم والشكر لكل من له حس الإنسانية و الرحمة و الإحترام في التعامل مع الحيوانات و البيئة بصفة عامة.,الشكر التحيه لناس زرهون لمسوولي المسابقه حقيقه قدمتم صوره جميله متحضره عنكم عكس وقع بعض جهات المغرب تعذيب تعدي بعض الحيوانات مره اخري شكرا لكم والشكر لكل له حس الانسانيه الرحمه الاحترام التعامل الحيوانات البييه بصفه عامه,positif
صوت وصورة,أجمل حمار في زرهون,zanit.zanitma,علاش الحمار ف الثقافة المغربية حيوان مرتبط بالغلاء مع أنه من أذكى وأوفى الحيوانات ويستغيد الشخص منه خاصة في البادية في الزراعة وحمل الأعباء عن البشر وفي النافورة لجذب الماء ومع ذلك نسب به شخصا قام بعمل سيئ إنه حقا التناقض فقط وقافة قديمة مغلوطة وتشبعنا بها وأصبحت هادية أما الحمار ف هو جميل نافع وشكرا,الحمار ف الثقافه المغربيه حيوان مرتبط بالغلاء انه اذكي واوفي الحيوانات ويستغيد الشخص منه خاصه الباديه الزراعه وحمل الاعباء البشر وفي النافوره لجذب الماء ومع ذلك نسب شخصا قام بعمل سيي انه حقا التناقض فقط وقافه قديمه مغلوطه وتشبعنا واصبحت هاديه اما الحمار ف جميل نافع وشكرا,positif
صوت وصورة,أجمل حمار في زرهون,شكرا,جزاكم الله خيررا على هاد المبادرة الطيبة… الرفق الحيوانات واجب على كل إنسان بالخص اذا كنت مسلما.,جزاكم الله خيررا المبادره الطيبه الرفق الحيوانات واجب انسان بالخص اذا كنت مسلما,positif
صوت وصورة,اتفاقية بشأن الأسر في جهة الشرق,ميحل,الأسرة و الحي و المدرسة و النادي و وسائل النقل و وسائل الاتصال و والتواصل ة المواصلات.,الاسره الحي المدرسه النادي وسايل النقل وسايل الاتصال والتواصل ه المواصلات,neutral
صوت وصورة,منع مسيرة طلبة الطب,ايسوا وطنيين,يجب فصلهم بالمرة من الدراسة لانهم أبانوا عن سلوك لا يمت للأطباء بصلة,يجب فصلهم بالمره الدراسه لانهم ابانوا سلوك يمت للاطباء بصله,neutral
صوت وصورة,منع مسيرة طلبة الطب,المهدي BLV,الوزارة تريد الحد من هجرة الأطباء وذلك بجعل سنوات التكوين في حدود 6 سنوات. والطلبة لا يريدون ذلك لكي تكون لديهم إمكانية الهجرة والعمل بالخارج. لا يعقل أن يتم تكوين طالب لمدة ست سنوات وفي الاخير يهاجر إلى الخارج !!! نحن نعمل و ندفع الضرائب لتدريسكم و انتم تهاجرون لمساعدة الاوربيين في مستشفياتهم. يجب الضرب بيد من حديد.,الوزاره تريد الحد هجره الاطباء وذلك بجعل سنوات التكوين حدود سنوات والطلبه يريدون ذلك لكي تكون لديهم امكانيه الهجره والعمل بالخارج يعقل ان يتم تكوين طالب لمده ست سنوات وفي الاخير يهاجر الي الخارج نعمل ندفع الضرايب لتدريسكم انتم تهاجرون لمساعده الاوربيين مستشفياتهم يجب الضرب بيد حديد,neutral
صوت وصورة,منع مسيرة طلبة الطب,aaaa,هل سنة دراسية ستمنع الطبيب من العمل خارج المغرب.,سنه دراسيه ستمنع الطبيب العمل خارج المغرب,neutral
صوت وصورة,منع مسيرة طلبة الطب,عمر,الاحتجاج والاعتصام والاحتشاد حق يضمنه الدستور ، ولكن في اطار القانون واحترام المؤسسات. لماذا الاحتجاج يوم الاثنين الذي هو يوم عمل ودراسة؟ الوقت هو وقت امتحانات؟ من الخاسر من كل هذا؟ اولا الطلبة الذين يضيعون الزمن المدرسي ودافعي الضرائب…ليس من حق احد ان يلوي يد الدولة. اذا كنتم تفكرون من الان بالهجرة الى فرنسا والمانيا، فمن الافضل الهجرة لها اللان…تريدون الدراسة باموال دافعي الضرائب ليستفيد الاخرون….الدولة قادرة على لجمكم…,الاحتجاج والاعتصام والاحتشاد حق يضمنه الدستور ولكن اطار القانون واحترام الموسسات لماذا الاحتجاج يوم الاثنين يوم عمل ودراسه الوقت وقت امتحانات الخاسر اولا الطلبه يضيعون الزمن المدرسي ودافعي الضرايبليس حق احد ان يلوي يد الدوله اذا كنتم تفكرون الان بالهجره الي فرنسا والمانيا فمن الافضل الهجره لها اللانتريدون الدراسه باموال دافعي الضرايب ليستفيد الاخرونالدوله قادره لجمكم,positif
صوت وصورة,منع مسيرة طلبة الطب,هل من مزيد....!,الجهات الحكومية قدمت تنازلات لهذه التنسيقيات لأكثر من 40 مقترح. لكن النقطة الذين يريدون القفز عليها من اجل مصالحهم المستقبلية والهروب الى الخارج هي عدم رضاهم تقليص مدة التكوين الى 6 سنوات لغرض في نفس يعقوب. الآن الاضرابات اقتربت من 6 اشهر من الغيابات والحل هو انتهاء السنة الدراسية اما نجاح او سقوط ولا للسنة البيضاء التي يبحثون عنها. وفتح ابواب المستشفيات للأطر الأجنبية.,الجهات الحكوميه قدمت تنازلات لهذه التنسيقيات لاكثر مقترح النقطه يريدون القفز عليها اجل مصالحهم المستقبليه والهروب الي الخارج هي عدم رضاهم تقليص مده التكوين الي سنوات لغرض نفس يعقوب الان الاضرابات اقتربت اشهر الغيابات والحل انتهاء السنه الدراسيه اما نجاح او سقوط ولا للسنه البيضاء يبحثون عنها وفتح ابواب المستشفيات للاطر الاجنبيه,neutral
صوت وصورة,منع مسيرة طلبة الطب,Tounsaoui,تشبتهم المطلق بالتكوين السابق بسبع سنوات سيؤدي بهم إلى إعلان الوزارة سنة بيضاء وهذا لا يستقيم لأن معظم الشعب وراء الوزارة التي لن تتراجع عن هذا المطلب لأنه قرار سيادي أما هم الطلبة فهو شخصي محض وهو الهجرة إلى فرنسا بعد التخرج,تشبتهم المطلق بالتكوين السابق بسبع سنوات سيودي بهم الي اعلان الوزاره سنه بيضاء وهذا يستقيم لان معظم الشعب وراء الوزاره لن تتراجع المطلب لانه قرار سيادي اما الطلبه فهو شخصي محض وهو الهجره الي فرنسا بعد التخرج,neutral
صوت وصورة,منع مسيرة طلبة الطب,doniya,الكل يتكلم ضد الطلبية. اظن ان هذه الفئة بعيدة كل البعد عن بيت القصيد ولا علم لهم بحقيقة الامور وما يعاني منه الطلبة. هل كل الطلبة سيهاجرون ان كان كذلك كان من الاول . ما هي مصلحة الطالب من هذا الإضراب ماذا سيستفيدون بالعكس هم والدولة خاسر ون على حد السواء. هناك مشاكل حقيقية في هذا القرار . الطلبة ليسوا ضد ست سنوات انما ما هو البرنامج والخطوات التي تليها وكيف سيتم تدبيرها وعقلنتها تماشيا مع البرنامج الدراسي للطلبة. أذن الحل هو افتح الحوار والوصول للحل الانسب بين الطرفين لانهاء هذا المشكل الذي له الأثر السلبي على الطلبة الدولة والاباء الفءة الاكثر تضررا نفسيا اجتماعيا واسفا على المسار الذي الت اليه فلذات اكبادهم وهم المتميزون الحاصلون على اعلى نقط في الباكالوريا بغض النظر عن الجهد الكبير الذي بدلوه خلال هذه السنوات. حسبنا الله ونعم الوكيل كلنا مع الوطن أذن الحل هو الحوار,الكل يتكلم ضد الطلبيه اظن ان الفيه بعيده البعد بيت القصيد ولا علم لهم بحقيقه الامور وما يعاني منه الطلبه الطلبه سيهاجرون ان كذلك الاول هي مصلحه الطالب الاضراب ماذا سيستفيدون بالعكس والدوله خاسر ون حد السواء هناك مشاكل حقيقيه القرار الطلبه ليسوا ضد ست سنوات انما البرنامج والخطوات تليها وكيف سيتم تدبيرها وعقلنتها تماشيا البرنامج الدراسي للطلبه اذن الحل افتح الحوار والوصول للحل الانسب الطرفين لانهاء المشكل له الاثر السلبي الطلبه الدوله والاباء الفءه الاكثر تضررا نفسيا اجتماعيا واسفا المسار الت اليه فلذات اكبادهم وهم المتميزون الحاصلون اعلي نقط الباكالوريا بغض النظر الجهد الكبير بدلوه خلال السنوات حسبنا الله ونعم الوكيل كلنا الوطن اذن الحل الحوار,positif
صوت وصورة,منع مسيرة طلبة الطب,amina,انا مع راي دنيا .الحوار هو الحل,انا راي دنيا الحوار الحل,neutral
صوت وصورة,جمهور ليفركوزن يعشق عدلي,كجميع الاعبين المغاربة,في كل الدوريات الاجنبية جميع الاعبين المغاربة محبوبون رياضيا واخلاقيا ..بونو في الهلال ..النصيري اشبيلية..عدلي ليفركوزن ..مزراوي بايرن ..حكيمي باريس ..زياش كلاتاسلرلي ..الكعبي اولمباكوس ..رحيمي العين الصابيري ايندهوفن وووو الاءحة طويلة جدا,الدوريات الاجنبيه جميع الاعبين المغاربه محبوبون رياضيا واخلاقيا بونو الهلال النصيري اشبيليهعدلي ليفركوزن مزراوي بايرن حكيمي باريس زياش كلاتاسلرلي الكعبي اولمباكوس رحيمي العين الصابيري ايندهوفن وووو الاءحه طويله جدا,positif
صوت وصورة,جمهور ليفركوزن يعشق عدلي,chakour abdou,كل التحية والتقدير لهؤلاء اللاعبين الذين,التحيه والتقدير لهولاء اللاعبين,neutral
صوت وصورة,سباق الحمير  ببني عمار زرهون,هشام,اجمل مافي هد المهرجان هي خريطة المغرب من طنجة الي الكويرة,اجمل مافي هد المهرجان هي خريطه المغرب طنجه الي الكويره,positif
صوت وصورة,سباق الحمير  ببني عمار زرهون,سعيد,جميل جدا ، هذا المهرجان ، فكرة أصيلة ونوعية ، اتمنى له الاستمرار,جميل جدا المهرجان فكره اصيله ونوعيه اتمني له الاستمرار,positif
صوت وصورة,سباق الحمير  ببني عمار زرهون,ابن سوس المغربي,برافو الله يعطيكم الصحة المغاربة ديما افكار جديدة تبارك الله عليكم، فكرة زوينة تتميز بها هذا المدينة التاريخية,برافو الله يعطيكم الصحه المغاربه ديما افكار جديده تبارك الله عليكم فكره زوينه تتميز المدينه التاريخيه,positif
